preferredName,oldName,redshift,degreesJ2000RA_Dec,J2000RA_Dec,galacticLong_Lat,rIndependentDistMean_sd_min_max (Mpc),RID,morphology,distanceIndicator,luminosityClass,EBminusV,radialVelocity (km/s),vcorr (km/s),angDiameters (arcsec),linDiameters (kpc),distvcorr (Mpc),inclination (deg),RC3_type,RC3_d25 (arcsec),RC3_r25,RC3_pa (deg),alternativeNames
PGC047728,PGC047728,0.00461,"(203.332, -53.35469)","((13, 33, 19.68), (-53, 21, 16.884))","(309.23806200000001, 9.0034379999999992)","('3.600', 'N/A', '3.600', '3.600')","[3.6, 3.6, 0.74, 3.6, 3.6]",SAB(s)0^0^ pec:,TF,x,0.2578,1382,1495.413131,"(108.0, 66.0)","(11.0281205074194, 6.73940659087945)",21.06215678,52.33011304,.LXS0P*,106.6967646,0.602559586,37,"['ESO174-G001', 'ESO133011-5305.9', 'WKK2332', '2MASXJ13331968-5321170', 'IRAS13301-5305', 'SGC133011-5305.9', '2MIG1869', 'PGC047728', 'PGC047728']"
PGC044681,PGC044681,0.002753,"(194.98458, -19.41306)","((12, 59, 56.2992), (-19, 24, 47.016))","(305.69147299999997, 43.413169000000003)","('6.895', '0.007', '6.890', '6.900')","[6.895, 6.89, 0.005, 6.89, 6.9]",IAm:,TF,LC V-VI,0.0832,825,1075.62851,"(96.0, 54.0)","(7.0509898147474228, 3.9661815750274432)",15.14969732,55.77113367,.IA.9*.,97.30860584,0.562341325,x,"['KK176', 'GALEXASCJ125956.60-192445.7', 'SGC1257.3-1909', 'HIPASSJ1259-19', 'PGC044681', 'SIGRID56', '[KK98]176', '[KK98]125717.1-190826', 'PGC044681']"
SDSSJ080158.89+212219.1,SDSSJ080158.89+212219.1,0.004797,"(120.49542, 21.372)","((8, 1, 58.9008), (21, 22, 19.2))","(200.49747300000001, 24.662186999999999)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0433,1438,1571.96535,"(21.599999999999998, 12.6)","(2.3185327767563839, 1.3524774498463172)",22.14035705,54.31466529,x,x,x,x,"['SDSSJ080158.89+212219.1', 'SDSSJ080158.90+212219.1', 'SDSSJ080158.90+212219.2', 'GALEXASCJ080158.75+212219.5', 'GALEXMSCJ080158.72+212219.6', 'ASK363290.0', 'NSA064293', 'KIG0221:[VOV2007]018', 'SDSSJ080158.89+212219.1']"
GALEXASCJ012452.49-765405.9,GALEXASCJ012452.49-765405.9,0.005658,"(21.22167, -76.90167)","((01, 24, 53.20), (-76, 54, 06.0))","(300.46367, -40.06579)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0415,1696,1566.43262,"('x', 'x')","('x', 'x')",22.06243126,x,x,x,x,x,"['IRASF01244-7708', 'HIPASSJ0124-76', 'IRASF01244-7708ID', 'GALEXASCJ012452.49-765405.9']"
2MASXiJ0936057-204656,2MASXiJ0936057-204656,0.007589,"(144.02283, -20.78156)","((09, 36, 05.480), (-20, 46, 53.60))","(253.206617, 22.699655)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0502,2275,2451.881818,"('x', 'x')","('x', 'x')",34.53354674,x,x,x,x,x,"['2MASXiJ0936057-204656', 'GALEXASCJ093605.53-204651.3', '6dFJ0936055-204654', 'LEDA837047 ']"
2MASXiJ1046038-094841,2MASXiJ1046038-094841,0.007909,"(161.51704, -9.81217)","((10, 46, 04.09),  (-09, 48, 43.8))","(259.182392, 42.166582)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0289,2371,2620.106934,"('x', 'x')","('x', 'x')",36.90291456,x,x,x,x,x,"['2MASXiJ1046038-094841', 'GALEXASCJ104604.11-094843.7', '6dFJ1046040-094844', '6dFJ1046041-094844']"
COSMOS1362316,COSMOS1362316,0.01,"(149.72348, 2.08661)","((9, 58, 53.6352), (2, 5, 11.796))","(236.64480399999999, 41.730359999999997)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0169,2998,3233.618747,"('x', 'x')","('x', 'x')",45.54392602,x,x,x,x,x,"['COSMOS1362316', 'ACS-GC20073435', 'COSMOS1362316']"
PGC067408,PGC067408,0.010012,"(327.25408, -59.97858)","((21, 49, 0.9792), (-59, 58, 42.888))","(333.26487600000002, -44.936691000000003)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",S...,x,x,0.0308,3002,2831.030309,"(55.800000000000004, 37.2)","(10.78686507793098, 7.1912432878268788)",39.87366633,48.1896851,x,x,x,x,"['ESO145-GA015', 'ESO214524-6012.7', '2MASXJ21490097-5958423', 'ESO-LV1452150', '6dFJ2149008-595845', 'APMBGC145-087+007', 'APMUKS(BJ)B214523.55-601244.2', 'HIPASSJ2148-59', 'MRSS145-044674', 'PGC067408', 'PGC067408']"
LEDA087291,LEDA087291,0.011308,"(41.32042, 9.55111)","((2, 45, 16.9008), (9, 33, 3.996))","(163.80782500000001, -44.100527999999997)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",Sm/Im,x,x,0.1782,3390,3163.621569,"(36.0, 'x')","('x', 'x')",44.55805026,x,x,x,x,x,"['LSBCF687-V2', 'LEDA087291', 'LEDA087291']"
SDSSJ115621.32+312536.9,SDSSJ115621.32+312536.9,0.011338,"(179.08888, 31.42694)","((11, 56, 21.3312), (31, 25, 36.984))","(189.95081300000001, 77.254137)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0167,3399,3681.261246,"(48.0, 18.6)","(12.06575221312182, 4.6754789108587813)",51.84874995,67.20096873,x,x,x,x,"['SDSSJ115621.32+312536.9', 'SDSSJ115621.33+312537.0', 'ASK503738.0', 'MAPS-NGPO_320_0081629', 'NSA087562', '[TTL2012]487024', 'SDSSJ115621.32+312536.9']"
SDSSJ105653.41+653956.0,SDSSJ105653.41+653956.0,0.011338,"(164.22258, 65.66558)","((10, 56, 53.4192), (65, 39, 56.088))","(139.93024199999999, 47.505569999999999)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0306,3399,3571.441934,"(16.8, 10.200000000000001)","(4.0970323610510775, 2.4874839300223641)",50.30199906,52.61680158,x,x,x,x,"['SDSSJ105653.41+653956.0', 'SDSSJ105653.41+653956.1', 'SDSSJ105653.42+653956.1', 'GALEXASCJ105653.37+653956.7', 'GALEXMSCJ105653.36+653956.9', 'ASK064180.0', 'NSA012777', '[PVK2003]J164.22255+65.66559', '[TTL2012]374212', 'SDSSJ105653.41+653956.4', 'SDSSJ105653.41+653956.0']"
MCG-03-02-013,MCG-03-02-013,0.011339,"(6.3732, -14.55365)","((0, 25, 29.568), (-14, 33, 13.14))","(95.963341999999997, -76.048305999999997)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",SB(s)d: sp,x,LC IV,0.0278,3399,3099.127209,"(102.0, 18.0)","(21.585202545051267, 3.8091530894757017)",43.649679,79.83575138,.SBS7*/,101.8946191,0.158489319,81,"['MCG-03-02-013', 'APMUKS(BJ)B002257.89-144950.1', 'HIPASSJ0025-14', 'NSA126908', 'PGC001575', 'MCG-03-02-013']"
HIPASSJ1228-38b,2MASXJ12284033-3819015,0.011339,"(187.16796, -38.31706)","((12, 28, 40.3104), (-38, 19, 1.416))","(298.03291999999999, 24.338085)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0627,3399,3586.770402,"('x', 'x')","('x', 'x')",50.51789298,x,x,x,x,x,"['2MASXJ12284033-3819015', '2MASXJ12284033-3819015ID', 'HIPASSJ1228-38b', '2MASXJ12284033-3819015']"
PGC001452,ESO194-G013,0.011341,"(5.65858, -48.58114)","((0, 22, 38.0592), (-48, 34, 52.104))","(315.62700599999999, -67.830906999999996)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",SAB(r)c,x,LC III-IV,0.0156,3400,3156.25294,"(78.0, 60.0)","(16.810589434111062, 12.931222389960713)",44.45426676,39.71513723,.SXR6..,75.53552471,0.812830516,47,"['ESO194-G013', 'ESO002012-4851.5', 'FAIRALL0650', '2MASXJ00223807-4834522', 'SGC002012-4851.5', 'ESO-LV1940130', 'APMBGC194+088-065', 'APMUKS(BJ)B002011.52-485128.3', 'MRSS194-107839', 'PGC001452', 'SUMSSJ002238-483451', 'SCG0018-4854:[PDI2007]E', 'ESO194-G013']"
IRAS20168-0528,2MASXJ20193103-0519231,0.011341,"(304.87942, -5.32308)","((20, 19, 31.0608), (-5, 19, 23.088))","(38.356731000000003, -21.996165999999999)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",HII,x,x,0.0673,3400,3256.66329,"('x', 'x')","('x', 'x')",45.86849705,x,x,x,x,x,"['2MASXJ20193103-0519231', '2MASXiJ2019311-051922', 'GALEXASCJ201931.00-051921.2', 'IRAS20168-0528', 'IRASF20168-0528', 'AKARIJ2019312-051917', '6dFJ2019311-051923', 'LEDA090358', 'NVSSJ201931-051921', '2MASXJ20193103-0519231']"
RR242:[GTR2007]23187,RR242:[GTR2007]23187,0.011341,"(200.38754, -43.66194)","((13, 21, 33.0096), (-43, 39, 42.984))","(308.680429, 18.873494999999998)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",SB0,x,x,0.1238,3400,3559.23048,"('x', 'x')","('x', 'x')",50.13000677,x,x,x,x,x,"['RR242:[GTR2007]23187', 'RR242:[GTR2007]23187']"
GALEXASCJ222437.85-273358.0,GALEXASCJ222437.85-273358.0,0.011342,"(336.15768, -27.56584)","((22, 24, 37.8432), (-27, 33, 57.024))","(23.52525, -57.518546999999998)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0163,3400,3145.884545,"(9.0, 6.6)","(1.9333113816190781, 1.4177616794381112)",44.30823303,42.83342807,x,x,x,x,"['GALEXASCJ222437.85-273358.0', 'GALEXMSCJ222437.82-273356.8', '2dFGRSS179Z093', 'APMUKS(BJ)B222149.70-274911.4', 'MRSS467-030658', 'LEDA3221270', 'GALEXASCJ222437.85-273358.0']"
SDSSJ150804.21+551954.0,SDSSJ150804.21+551954.0,0.011342,"(227.01754, 55.33167)","((15, 8, 4.2096), (55, 19, 54.012))","(91.242925, 52.555664)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0119,3400,3582.193117,"(21.599999999999998, 19.2)","(5.2834702441034596, 4.6964179911556103)",50.45342418,27.26604445,x,x,x,x,"['SDSSJ150804.21+551954.0', 'SDSSJ150804.22+551953.9', 'ASK161543.0', 'NSA028352', '[TTL2012]359670', 'SDSSJ150804.24+551954.1', 'SDSSJ150804.21+551954.0']"
PGC031645,ESO437-G026,0.011344,"(159.67633, -28.26057)","((10, 38, 42.3192), (-28, 15, 38.052))","(270.459992, 26.114746)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",Sd,x,x,0.051,3401,3598.457013,"(67.2, 7.800000000000001)","(16.512092979584086, 1.9165821539480428)",50.68249313,83.33457274,x,x,x,x,"['ESO437-G026', 'ESO103621-2800.0', 'FGCE0831', 'RFGC1850', 'GALEXASCJ103842.38-281535.9', 'ESO-LV4370260', 'PGC031645', 'ABELL1060:[R89]398', 'ABELL1060:[CZ2003]A0494[059]', 'ESO437-G026']"
MCG-04-30-013,ESO507-G006,0.011344,"(191.14292, -24.27525)","((12, 44, 34.3008), (-24, 16, 30.9))","(300.93042800000001, 38.569848)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",Sab,x,x,0.08,3401,3639.160702,"(90.0, 42.0)","(22.364556441174887, 10.436792487785029)",51.25578454,62.18186072,x,x,x,x,"['ESO507-G006', 'ESO124155-2400.2', 'MCG-04-30-013', 'LCSBS1756O', '2MASXJ12443430-2416309', '2MASXiJ1244342-241631', 'ESO-LV5070060', '6dFJ1244342-241631', '6dFJ1244343-241631', 'GSC668400338', 'PGC042905', 'PGC042923', 'ESO507-G006']"
IC4736,IC4736,0.011344,"(279.66588, -57.89328)","((18, 38, 39.8112), (-57, 53, 35.808))","(337.597419, -21.093548999999999)","('39.756', '8.293', '31.000', '55.900')","[39.756, 37.4, 7.818, 31.0, 55.9]",SB(s)dm,TF,LC IV-V,0.0741,3401,3336.309025,"(102.0, 54.0)","(23.237157174992419, 12.302023665037073)",46.99026796,58.03428125,.SBS8..,99.57521445,0.562341325,99,"['IC4736', 'ESO140-G034', 'ESO183420-5756.3', '2MASXJ18383941-5753423', '2MASXJ18383982-5753357', 'IRASF18343-5756', 'SGC183420-5756.3', 'ESO-LV1400340', 'AGC032005', 'HIPASSJ1838-57', 'PGC062181', 'IC4736']"
SBS1430+526,SBS1430+526,0.011344,"(218.13975, 52.41289)","((14, 32, 33.54), (52, 24, 46.404))","(93.073172, 58.452606000000003)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",Spiral         BCD,x,x,0.0084,3401,3606.50702,"(37.2, 17.4)","(9.161070906534496, 4.2850170006330872)",50.79587352,62.11217976,x,x,x,x,"['SBS1430+526', 'SBS1430+526A', 'KUG1430+526', 'SDSSJ143233.53+522446.2', 'SDSSJ143233.53+522446.3', 'SDSSJ143233.54+522446.4', 'GALEXMSCJ143233.47+522449.0', 'CG0470', 'ASK302410.0', 'MAPS-NGPO_135_0160125', 'NSA053274', 'PGC051961', '[TTL2012]086162', 'SDSSJ143233.53+522446.6', 'SBS1430+526']"
2MASXJ23112203-2315247,2MASXJ23112203-2315247,0.011345,"(347.84188, -23.25689)","((23, 11, 22.0512), (-23, 15, 24.804))","(37.084789999999998, -67.073070000000001)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0205,3401,3120.402708,"(24.0, 18.0)","(5.113737229630801, 3.8353029146507849)",43.94933392,41.40962211,x,x,x,x,"['2MASXJ23112203-2315247', '2MASXiJ2311220-231525', 'GALEXASCJ231121.88-231524.1', 'DUKST535-017', '6dFJ2311220-231525', 'MRSS535-040404', 'LEDA195134', '2MASXJ23112203-2315247']"
NGC6851A,NGC6851A,0.011347,"(301.45214, -47.97825)","((20, 5, 48.5136), (-47, 58, 41.7))","(351.30523399999998, -31.917573999999998)","('31.600', '7.780', '21.700', '41.300')","[31.6, 31.1, 7.203, 21.7, 41.3]",(R')SB(s)m,TF,LC II-III,0.0472,3402,3270.426563,"(78.0, 30.0)","(17.418692125883155, 6.6994966993890506)",46.06234596,67.38013505,.S..4*/,79.09540431,0.416869383,54,"['NGC6851A', 'NGC6861A', 'ESO233-G025', 'ESO200211-4807.3', 'AM2002-480', 'GALEXASCJ200549.06-475840.9', 'SGC200211-4807.3', 'ESO-LV2330250', 'RR311b', 'HIPASSJ2005-47', 'PGC064086', 'NGC6851A']"
UGC04043,UGC04043,0.011348,"(117.69279, 54.36222)","((7, 50, 46.2696), (54, 21, 43.992))","(163.61196899999999, 30.221374000000001)","('71.155', '13.822', '52.500', '88.000')","[70.342, 77.3, 12.902, 52.5, 88.0]",Sc,TF,LC IV,0.04,3402,3517.371274,"(127.8, 18.0)","(30.694858803899766, 4.3232190075999251)",49.54044048,81.90325023,.S..7..,125.3577679,0.112201845,5,"['UGC04043', 'CGCG262-037', 'CGCG0746.8+5429', 'MCG+09-13-072', 'FGC0665', 'RFGC1265', '2MFGC06220', '2MASXJ07504626+5421439', 'GALEXASCJ075046.32+542141.6', 'IRAS07468+5429', 'IRASF07468+5429', 'PGC021970', 'UZCJ075046.2+542144', 'NVSSJ075046+542145', 'UGC04043']"
NGC3249,NGC3249,0.011348,"(156.59254, -34.96369)","((10, 26, 22.2096), (-34, 57, 49.284))","(272.07220000000001, 19.072004)","('44.800', 'N/A', '44.800', '44.800')","[44.8, 44.8, 1.62, 44.8, 44.8]",SAB(rs)cd:     HII,TF,LC III-IV,0.0812,3402,3570.636969,"(96.0, 78.0)","(23.406338405546634, 19.017649487839616)",50.29066154,35.6590877,.SXT6*.,95.09359155,0.812830516,139,"['NGC3249', 'ESO375-G024', 'ESO102407-3442.5', 'MCG-06-23-028', '2MASXJ10262222-3457493', 'GALEXASCJ102622.11-345748.4', 'IRAS10240-3442', 'SGC102407-3442.5', 'ESO-LV3750240', '6dFJ1026222-345749', 'LDCE0729NED067', 'HDCE0587NED001', 'AGC027127', 'PGC030657', 'NVSSJ102622-345746', 'AntliaGROUP:[FS90]028', 'LGG203:[G93]001', 'NGC3249']"
IC5063,IC5063,0.011348,"(313.00975, -57.06878)","((20, 52, 2.34), (-57, 4, 7.608))","(339.99116600000002, -38.735639999999997)","('', '12.426', '26.100', '58.300')","[37.867, 32.7, 11.343, 26.1, 58.3]",SA(s)0+:       Sy2,FJ,x,0.0526,3402,3251.706355,"(126.0, 84.0)","(27.976825690502967, 18.651215838146321)",45.79868105,48.1896851,.LAS+*.,128.2777254,0.676082975,116,"['IC5063', 'ESO187-G023', 'ESO204812-5715.5', 'AM2048-571', 'PKS2048-57', '2MASXJ20520232-5704076', 'IRAS20481-5715', 'IRASF20482-5715', 'AKARIJ2052024-570407', 'SGC204812-5715.5', 'ESO-LV1870230', 'RR331a', '6dFJ2052022-570408', '6dFJ2052023-570408', 'LQAC313-057001', 'APMBGC187+042+117', 'APMUKS(BJ)B204812.01-571526.0', 'PGC065600', 'PKSB2048-572', 'PKSJ2052-5704', 'PMNJ2051-5704', 'PMNM204806.1-571518', 'MRC2048-572', 'SUMSSJ205202-570406', 'AT20GJ205202-570407', 'MSH20-507', 'SPT-SJ205202-5704.1', '2PBCJ2052.0-5704', 'PBCJ2052.0-5704', '1AXGJ205201-5703', 'XSSJ20501-5646', 'SWIFTJ2052.0-5703', 'SWIFTJ2052.0-5704', 'SWIFTJ2052.1-5703', '[dML87]512', '[Sdd95]432a', '[VCV2001]J205202.2-570407', '[VCV2006]J205202.2-570407', '[WMR2009]138', '[MSC2011]J205202.25-570409.1', '[BTM2013]1092', '[AHG2014]B071', 'IC5063']"
IRAS04416+2809,IRAS04416+2809,0.011351,"(71.18239, 28.24906)","((4, 44, 43.7736), (28, 14, 56.616))","(172.79202799999999, -11.295932000000001)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.7357,3403,3323.486055,"('x', 'x')","('x', 'x')",46.80966274,x,x,x,x,x,"['IRAS04416+2809', 'LEDA100769', 'IRAS04416+2809']"
