preferredName,oldName,redshift,degreesJ2000RA_Dec,J2000RA_Dec,galacticLong_Lat,rIndependentDistMean_sd_min_max (Mpc),RID,morphology,distanceIndicator,luminosityClass,EBminusV,radialVelocity (km/s),vcorr (km/s),angDiameters (arcsec),linDiameters (kpc),distvcorr (Mpc),inclination (deg),RC3_type,RC3_d25 (arcsec),RC3_r25,RC3_pa (deg),alternativeNames
NGC3394,NGC3394,0.011353,"(162.66602, 65.72721)","((10, 50, 39.8448), (65, 43, 37.956))","(140.593887, 47.045721)","('69.083', '20.679', '34.900', '85.900')","[69.083, 65.8, 18.878, 34.9, 85.9]",SA(rs)c,TF,LC III,0.0112,3404,3574.913354,"(100.19999999999999, 69.0)","(24.459624976953663, 16.843453628797167)",50.35089231,46.47881341,.SAT5..,114.3276431,0.741310241,35,"['NGC3394', 'UGC05937', 'CGCG313-036', 'CGCG1047.2+6559', 'MCG+11-13-041', '2MASXJ10503976+6543377', '2MASXiJ1050392+654338', 'SDSSJ105039.84+654337.9', 'SDSSJ105039.84+654338.0', 'SDSSJ105039.85+654337.9', 'SDSSJ105039.85+654338.2', 'IRAS10473+6559', 'IRASF10473+6559', 'ASK064221.0', 'NSA012788', 'PGC032495', 'SSTSL2J105039.98+654338.1', 'UZCJ105039.9+654338', 'NVSSJ105040+654348', '[PVK2003]J162.66602+65.72722', '[TTL2012]374419', 'NGC3394']"
AGC160545,AGC160545,0.011354,"(98.4125, 26.48472)","((6, 33, 39.0), (26, 29, 4.992))","(187.27994100000001, 8.1396940000000004)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.1865,3404,3441.384445,"('x', 'x')","('x', 'x')",48.47020346,x,x,x,x,x,"['AGC160545', 'NSA134320', 'HIJ063337.5+262911', 'AGC160545']"
NGC6758,NGC6758,0.011355,"(288.46808, -56.30994)","((19, 13, 52.3392), (-56, 18, 35.784))","(340.57246500000002, -25.318407000000001)","('', '9.287', '27.900', '56.000')","[43.0, 43.6, 8.478, 27.9, 56.0]",E+:            LINER,FJ,x,0.0564,3404,3315.284433,"(132.0, 102.0)","(29.882112950230599, 23.090722373361562)",46.69414694,39.40056875,.E+..*.,134.3232683,0.776247117,121,"['NGC6758', 'ESO184-G037', 'ESO190943-5623.7', '2MASXJ19135231-5618356', 'GALEXASCJ191352.24-561836.4', 'CGS533', 'SGC190943-5623.7', 'ESO-LV1840370', 'LDCE1328NED018', 'HDCE1063NED005', 'PGC062935', 'SUMSSJ191352-561835', 'Str1908-566:[KUH87]103', 'LGG426:[G93]003', '[DZ2015]047-01', 'NGC6758']"
2MASXJ12110805-2435132,2MASXJ12110805-2435132,0.011355,"(182.7835, -24.587)","((12, 11, 8.04), (-24, 35, 13.2))","(291.38290499999999, 37.379286)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0715,3404,3641.293679,"('x', 'x')","('x', 'x')",51.28582647,x,x,x,x,x,"['2MASXJ12110805-2435132', '6dFJ1211080-243513', 'LEDA788397', '2MASXJ12110805-2435132']"
PGC058608,WKK7198,0.011357,"(249.217, -60.27647)","((16, 36, 52.08), (-60, 16, 35.292))","(327.61463199999997, -8.715052)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",SA(r)a:,x,LC I,0.1967,3405,3413.7784,"(90.0, 48.0)","(20.979463661478878, 11.189046778021151)",48.08138592,57.76904736,.SBR1?.,90.81367491,0.537031796,x,"['WKK7198', '2MASXJ16365206-6016347', 'IRAS16324-6010', 'CSRG0806', 'SGC1632.7-6010', 'LDCE1172NED146', 'HIPASSJ1637-60', 'PGC058608', 'WKK7198']"
6dFJ1447005-164601,6dFJ1447005-164601,0.011357,"(221.752, -16.76681)","((14, 47, 0.48), (-16, 46, 0.516))","(338.83607999999998, 37.918661999999998)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0925,3405,3615.04685,"('x', 'x')","('x', 'x')",50.91615282,x,x,x,x,x,"['6dFJ1447005-164601', '6dFJ1447005-164601']"
SDSSJ114950.02+221252.2,SDSSJ114950.02+221252.2,0.011357,"(177.45844, 22.21453)","((11, 49, 50.0256), (22, 12, 52.308))","(228.93150800000001, 75.180873000000005)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",Extended Src [SDSS],x,x,0.02,3405,3697.495593,"(17.4, 9.6)","(4.3931237036065438, 2.42379238419743)",52.07740272,56.51462338,x,x,x,x,"['SDSSJ114950.02+221252.2', 'SDSSJ114950.03+221252.3', 'GALEXASCJ114950.00+221252.7', 'ASK631518.0', 'NSA113718', 'LEDA4297897', '[TTL2012]150673', 'SDSSJ114950.02+221252.2']"
UGC03797,UGC03797,0.011358,"(110.01308, 59.3785)","((7, 20, 3.1392), (59, 22, 42.6))","(157.373997, 26.670024000000002)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",SBc,x,x,0.0558,3405,3496.865956,"(66.0, 42.0)","(15.759391824146894, 10.028703684432278)",49.25163319,50.47880364,x,x,x,x,"['UGC03797', 'MCG+10-11-028', 'GALEXASCJ072003.17+592243.0', 'PGC020705', '[RGD2000]J072003.14+592242.6', 'UGC03797']"
H-ATLASJ085920.4+005139,H-ATLASJ085920.4+005139,0.01294,"(134.83533, 0.86087)","((08, 59, 20.48), (+00, 51, 39.1))","(227.98267, 28.56153)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0386,3879,4060.21051,"('x', 'x')","('x', 'x')",57.18606351,x,x,x,x,x,"['SDP02627', 'H-ATLASJ085920.4+005139']"
SBS0335-052,SBS0335-052,0.013519,"(54.43359, -5.0445)","((03, 37, 44.061), (-05, 02, 40.19))","(191.344884, -44.693450)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",Wolf-Rayet Galaxy,x,x,0.0402,4053,3850.889632,"('x', 'x')","('x', 'x')",54.23788214,x,x,x,x,x,"['SBS0335-052', 'SBS0335-052E&W', 'SBS0335-052E', 'GALEXASCJ033744.03-050239.0', 'APMUKS(BJ)B033515.06-051226.7', 'LEDA088140', 'SSTSL2J033744.05-050240.3', 'NVSSJ033744-050230', 'CXOJ033744.0-050239', 'CXOCYJ033744.1-050239', 'CXOMPJ033744.0-050240']"
PGC014905,PGC014905,0.018399,"(65.05783, -63.96517)","((4, 20, 13.8792), (-63, 57, 54.612))","(275.80760099999998, -40.476914999999998)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",S...,x,x,0.0311,5516,5388.183564,"(66.0, 12.0)","(24.283028595188377, 4.415095962516923)",75.88990935,79.5243183,x,x,x,x,"['ESO084-GA012', 'ESO041944-6405.0', '2MASXJ04201390-6357548', '2MASXiJ0420139-635754', 'GALEXASCJ042013.94-635753.6', 'IRAS04197-6404', 'IRASF04197-6404', 'AKARIJ0420136-635756', 'ESO-LV0842120', 'MRSS084-195262', 'PGC014905', 'SUMSSJ042013-635757', 'PGC014905']"
H-ATLASJ090520.3-000213,H-ATLASJ090520.3-000213,0.019088,"(136.33479, -0.03712)","((09, 05, 20.35), (-00, 02, 13.6))","(229.74772, 29.38021)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0355,5722,5908.141657,"('x', 'x')","('x', 'x')",83.21326277,x,x,x,x,x,"['SDP06241', 'H-ATLASJ090520.3-000213']"
SDSSJ130350.49+280315.8,2MASXJ13035047+2803159,0.021011,"(195.9604, 28.05442)","((13, 3, 50.496), (28, 3, 15.912))","(52.268805999999998, 87.100020000000001)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0088,6299,6585.310149,"(19.8, 7.800000000000001)","(8.9034421968155915, 3.5074166138866025)",92.75084717,66.80015682,x,x,x,x,"['2MASXJ13035047+2803159', '2MASXiJ1303504+280315', 'SDSSJ130350.49+280315.8', 'SDSSJ130350.49+280315.9', 'GALEXASCJ130350.67+280315.0', 'GALEXMSCJ130350.56+280316.2', 'ASK580683.0', 'MAPS-NGPO_323_0932583', 'NGP9F323-0936318', 'NSA104268', 'LEDA093704', 'ABELL1656:[GMP83]0743', '[KK90]225', '[TTL2012]353946', '2MASXJ13035047+2803159']"
ISOSSJ00075-7211,PGC000588,0.021171,"(1.90779, -72.19828)","((0, 7, 37.8696), (-72, 11, 53.808))","(307.60518200000001, -44.530233000000003)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",S...,x,x,0.0246,6347,6194.002927,"(60.0, 12.0)","(25.376936151267085, 5.0753870928266291)",87.23947785,78.46304097,x,x,x,x,"['ESO050-GA005', 'ESO000509-7228.6', 'AM0005-722NED02', 'FAIRALL1208', '2MFGC00108', '2MASXJ00073789-7211534', '2MASXiJ0007373-721156', 'IRAS00051-7228', 'IRASF00051-7228', 'ISOSSJ00075-7211', 'ESO-LV0502050', '6dFJ0007379-721154', 'PGC000588', 'SUMSSJ000737-721157', 'SUMSSJ000737-721158', '[SLK2004]0013', 'PGC000588']"
MCG-06-07-003,PGC010291,0.021648,"(40.78646, -32.80197)","((2, 43, 8.7504), (-32, 48, 7.092))","(232.95962, -65.228140999999994)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",Sc:,x,x,0.0176,6490,6249.882322,"(60.0, 36.0)","(25.605874990136332, 15.36352471674862)",88.02651158,53.13010235,x,x,x,x,"['ESO356-G009', 'ESO024103-3300.9', 'MCG-06-07-003', '2MASXJ02430874-3248071', '2MASXiJ0243087-324807', 'IRAS02410-3300', 'IRASF02410-3300', 'ESO-LV3560090', '2MIG0323', 'APMBGC356+079-110', 'GSC701400048', 'MRSS356-088258', 'PGC010291', 'NVSSJ024308-324813', 'PGC010291']"
2MASXJ13094664-5753480,2MASXJ13094664-5753480,0.022069,"(197.44417, -57.89675)","((13, 09, 46.60), (-57, 53, 48.3))","(305.375470, 4.888037)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.3919,6616,6711.829272,"('x', 'x')","('x', 'x')",94.53280665,x,x,x,x,x,"['LEDA4584407', '2MASXJ13094664-5753480']"
2MASXJ13105161-5804479,2MASXJ13105161-5804479,0.022502,"(197.71508, -58.08006)","((13, 10, 51.62), (-58, 04, 48.2))","(305.505676, 4.694673)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.4244,6746,6840.798951,"('x', 'x')","('x', 'x')",96.34928099,x,x,x,x,x,"['2MASXJ13105161-5804479', 'LEDA4584409']"
PGC003154,PGC003154,0.022612,"(13.39779, -69.59481)","((0, 53, 35.4696), (-69, 35, 41.316))","(302.65385199999997, -47.532176)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",S...,x,x,0.0201,6779,6614.803319,"(60.0, 12.0)","(27.100962570862819, 5.420192367409447)",93.16624394,78.46304097,x,x,x,x,"['ESO051-GA006', 'ESO005144-6951.9', '2MFGC00646', '2MASXJ00533544-6935413', '2MASXiJ0053354-693541', 'GALEXASCJ005335.63-693540.9', 'IRAS00517-6951', 'IRASF00516-6952', 'ESO-LV0512060', '6dFJ0053355-693541', 'MRSS051-215715', 'PGC003154', 'PGC003154']"
2MASXJ03030449+2733462,2MASXJ03030449+2733462,0.023159,"(45.76871, 27.56272)","((03, 03, 04.49), (+27, 33, 45.8))","(155.599388, -26.832235)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.1591,6943,6772.587938,"('x', 'x')","('x', 'x')",95.38856251,x,x,x,x,x,"['2MASXJ03030449+2733462', '2MASXiJ0303044+273346', '2MASXiJ0303045+273346', 'GALEXASCJ030304.42+273346.0', 'ALFALFA2-293', 'AGC131361', 'NSA170254', 'LEDA1811746', 'SSTSL2J030304.58+273344.9']"
2MASXJ06202388-6353506,2MASXJ06202388-6353506,0.02368,"(95.09971, -63.89744)","((06, 20, 23.93), (-63, 53, 50.8))","(273.482522, -27.538569)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0394,7099,7034.923682,"('x', 'x')","('x', 'x')",99.08343214,x,x,x,x,x,"['2MASXJ06202388-6353506', '2MASXiJ0620238-635350', 'IRAS06200-6352', 'IRASF06201-6352', 'AKARIJ0620241-635350', 'LEDA165459', 'SUMSSJ062022-635350', '[FHS95]A0620-6352']"
2MASXJ13112359-5755471,2MASXJ13112359-5755471,0.02375,"(197.8485, -57.92972)","((13, 11, 23.64), (-57, 55, 47.0))","(305.587963, 4.839147)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.4005,7120,7215.462188,"('x', 'x')","('x', 'x')",101.626228,x,x,x,x,x,"['LEDA4584411', '2MASXJ13112359-5755471']"
2MASXJ13104152-5805140,2MASXJ13104152-5805140,0.024233,"(197.67308, -58.08717)","((13, 10, 41.54), (-58, 05, 13.8))","(305.482923, 4.689253)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.4297,7265,7359.785752,"('x', 'x')","('x', 'x')",103.6589543,x,x,x,x,x,"['2MASXJ13104152-5805140', 'LEDA4584408']"
PGC013393,PGC013393,0.024827,"(54.50054, -70.46569)","((3, 38, 0.1296), (-70, 27, 56.484))","(285.890174, -40.702306999999998)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",SB?b,x,x,0.03,7443,7313.943396,"('x', 30.0)","('x', 'x')",103.0132873,x,x,x,x,x,"['ESO054-GA014', 'ESO033759-7037.6', '2MASXJ03380013-7027565', '2MASXiJ0338001-702756', 'GALEXASCJ033759.87-702757.0', 'IRASF03380-7037', 'ESO-LV0542140', '6dFJ0338001-702757', 'MRSS054-053755', 'PGC013393', 'PGC013393']"
2MFGC12885,2MFGC12885,0.025844,"(240.84396, -33.79875)","((16, 3, 22.5504), (-33, 47, 55.5))","(342.44172400000002, 13.967416999999999)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",Sb             HII,x,x,0.2821,7748,7853.257444,"(47.400000000000006, 13.2)","(25.418194702691636, 7.0784844858105451)",110.6092598,73.8304323,x,x,x,x,"['2MFGC12885', '2MASXJ16032256-3347551', '2MASXiJ1603225-334755', 'DENIS-PJ160322.3-334758', 'IRAS16001-3339', 'IRASF16001-3339', '6dFJ1603226-334756', 'LDCE1167NED003', 'HDCE0932NED003', 'LEDA090230', 'NVSSJ160322-334756', 'SUMSSJ160322-334756', '2MFGC12885']"
2MASXJ14015457-5658379,2MASXJ14015457-5658379,0.026678,"(210.47742, -56.97717)","((14, 01, 54.58), (-56, 58, 37.8))","(312.456791, 4.585710)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.4483,7998,8087.614306,"('x', 'x')","('x', 'x')",113.9100607,x,x,x,x,x,"['2MASXJ14015457-5658379', 'LEDA4585311']"
PGC009864,PGC009864,0.027579,"(38.94925, -74.24194)","((2, 35, 47.82), (-74, 14, 30.984))","(293.82799199999999, -40.989190999999998)","('85.900', 'N/A', '85.900', '85.900')","[85.9, 85.9, 21.632, 85.9, 85.9]",S...,FP,x,0.0437,8268,8136.160668,"(60.0, 12.0)","(33.333989702682906, 6.6667977600189996)",114.5938122,78.46304097,x,x,x,x,"['ESO030-GA017', 'ESO023544-7427.6', '2MASXJ02354784-7414310', 'GALEXASCJ023547.83-741431.9', 'IRAS02357-7427', 'IRASF02357-7427', 'ESO-LV0302170', '2MIG0305', '6dFJ0235477-741431', '6dFJ0235478-741431', '6dFGSv01285', 'PGC009864', 'SUMSSJ023549-741420', 'PGC009864']"
[CWF2012]J327.594666-05.74865,[CWF2012]J327.594666-05.74865,0.0276,"(327.59467, -5.74866)","((21, 50, 22.720), (-05, 44, 55.16))","(50.970318, -41.984057)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0329,8274,8041.791943,"('x', 'x')","('x', 'x')",113.2646752,x,x,x,x,x,['[CWF2012]J327.594666-05.74865']
2MASXiJ2041593-152751,2MASXiJ2041593-152751,0.028119,"(310.49771, -15.46342)","((20, 41, 59.45), (-15, 27, 48.3))","(30.690136, -31.297624)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0405,8430,8255.680624,"('x', 'x')","('x', 'x')",116.2771919,x,x,x,x,x,"['2MASXiJ2041593-152751', 'GALEXASCJ204159.42-152746.6', '6dFJ2041595-152748', 'NSA171550']"
PGC060828,PGC060828,0.02903,"(266.56329, -55.18417)","((17, 46, 15.1896), (-55, 11, 3.012))","(337.21917100000002, -13.401574)","('114.000', 'N/A', '114.000', '114.000')","[114.0, 114.0, 23.029, 114.0, 114.0]",SB(r)a,FP,x,0.1026,8703,8677.4939,"(168.0, 114.0)","(99.545174650648136, 67.54850331097046)",122.2182239,47.26788996,x,x,x,x,"['ESO181-GA004', 'ESO174203-5509.8', '2MASXJ17461516-5511032', 'DENISJ174614.9-551103', 'SGC174203-5509.8', '6dFJ1746151-551103', '6dFJ1746152-551103', '6dFGSv08802', 'PGC060828', 'PGC060828']"
QP131,QP131,0.02952,"(3.48133, -35.39406)","((00, 13, 55.52), (-35, 23, 38.6))","(344.699879, -78.497133)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",x,x,x,0.0121,8850,8573.153283,"('x', 'x')","('x', 'x')",120.7486378,x,x,x,x,x,"['QP131', '2MASXiJ0013555-352338', '2MASXJ00135552-3523386']"
6dFJ2117218-355401,6dFJ2117218-355401,0.029797,"(319.34125, -35.90028)","((21, 17, 21.9), (-35, 54, 1.008))","(8.0370190000000008, -44.108173000000001)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",HII,x,x,0.0578,8933,8733.439903,"('x', 'x')","('x', 'x')",123.0061958,x,x,x,x,x,"['6dFJ2117218-355401', '6dFJ2117219-355401', '6dFJ2117218-355401']"
SOS185924,SOS185924,0.029817,"(202.31113, -31.98858)","((13, 29, 14.6712), (-31, 59, 18.888))","(312.20582899999999, 30.201485999999999)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",S1             ELG,x,x,0.0418,8939,9142.369525,"('x', 'x')","('x', 'x')",128.765768,x,x,x,x,x,"['SOS185924', 'ABELL3558:[MGP94]2400', 'ABELL3558:[KMD98]060', 'SOS185924']"
UGC02608S,UGC02612,0.031812,"(48.81079, 41.98067)","((3, 15, 14.5896), (41, 58, 50.412))","(149.58045799999999, -13.330574)","('x', 'x', 'x', 'x')","['x', 'x', 'x', 'x', 'x']",Scd:,x,LC III-IV,0.1375,9537,9420.456483,"(48.0, 42.0)","(30.876617020394303, 27.017039778541385)",132.6824857,28.95502437,.S..6*.,48.76983097,0.831763771,110,"['UGC02608S', 'UGC02612', 'CGCG540-065', 'CGCG0311.9+4148', 'MCG+07-07-038', '2MASXJ03151459+4158505', '2MASXiJ0315146+415850', 'PGC012089', 'SSTSL2J031514.56+415850.3', 'UZCJ031514.4+415849', '[WZX98]03117+4151B', 'ABELL0426:[BM99]069', 'UGC02612']"
